moduleId;semester;averageRatings;totalRatings;averageGrades;totalGrades;passedGrades;failedGrades
50825256;FS20;1.0;1;0;0;0;0
50825256;FS19;3.0;2;3.8;5;3;2
50825256;FS18;3.0;1;5.38;2;2;0
50825256;FS17;0;0;4.5;4;4;0
50825256;HS17;4.0;1;0;0;0;0
50834119;FS20;0;0;0;0;0;0
50834119;FS19;3.95;37;5.25;2;2;0
50834119;FS18;1.4;5;4.93;11;11;0
50834119;FS17;0;0;4.66;8;8;0
50834119;HS18;4.0;1;0;0;0;0
50834119;HS17;3.0;2;0;0;0;0
50826915;FS20;2.0;1;0;0;0;0
50826915;FS19;2.53;15;4.56;54;47;7
50826915;FS18;3.15;13;4.87;49;45;4
50826915;FS17;0;0;4.44;8;7;1
50826915;HS19;2.8;10;0;0;0;0
50826915;HS18;2.67;3;0;0;0;0
50826915;HS17;3.33;3;0;0;0;0
50034087;FS20;5.0;1;0;0;0;0
50034087;FS18;4.75;4;4.92;3;3;0
50034087;FS17;0;0;5.25;1;1;0
50034087;FS16;0;0;5.25;1;1;0
50034087;FS15;0;0;0;0;0;0
50034087;FS14;0;0;0;0;0;0
50034087;FS19;4.0;1;0;0;0;0
50034087;HS17;4.5;2;0;0;0;0
50034087;HS18;5.0;1;0;0;0;0
50393236;FS20;0;0;0;0;0;0
50393236;FS19;4.14;14;4.64;46;41;5
50393236;FS18;3.43;7;4.68;37;34;3
50393236;FS17;0;0;4.21;7;5;2
50393236;FS16;0;0;4.56;12;10;2
50393236;FS15;0;0;4.38;2;1;1
50393236;FS14;0;0;0;0;0;0
50393236;HS19;4.5;2;0;0;0;0
50393236;HS18;3.83;6;0;0;0;0
50393236;HS17;4.0;8;0;0;0;0
50873092;FS20;5.0;2;0;0;0;0
50873092;FS19;1.78;18;4.58;52;45;7
50873092;FS18;1.13;15;4.38;35;30;5
50873092;HS19;1.67;3;0;0;0;0
50873092;HS18;1.0;7;0;0;0;0
50369622;FS20;0;0;0;0;0;0
50369622;FS19;4.5;2;4.58;9;8;1
50369622;FS18;3.8;5;3.25;4;2;2
50369622;FS17;0;0;4.75;1;1;0
50369622;HS15;0;0;5.25;1;1;0
50369622;FS14;0;0;0;0;0;0
50369622;HS19;4.0;1;0;0;0;0
50369622;HS18;1.0;1;0;0;0;0
50392757;FS20;0;0;0;0;0;0
50392757;FS19;1.5;12;3.44;32;19;13
50392757;FS18;1.12;8;3.3;20;10;10
50392757;FS17;0;0;4.54;7;7;0
50392757;FS16;0;0;4.58;10;10;0
50392757;FS15;0;0;4.75;1;1;0
50392757;FS14;0;0;0;0;0;0
50392757;FS13;0;0;6;1;1;0
50392757;HS19;1.67;3;0;0;0;0
50392757;HS18;1.67;3;0;0;0;0
50392757;HS17;1.5;2;0;0;0;0
50893087;FS20;0;0;0;0;0;0
50893087;FS19;0;0;5.58;3;3;0
50893087;FS18;0;0;5.25;3;3;0
50893087;HS18;5.0;1;0;0;0;0
50976508;FS20;5.0;1;0;0;0;0
50976499;FS20;0;0;0;0;0;0
50941429;FS20;0;0;0;0;0;0
50941429;FS19;3.67;3;5.56;4;4;0
50523065;FS20;0;0;0;0;0;0
50523065;FS19;3.25;4;4.88;4;4;0
50523065;FS18;1.0;5;5;10;10;0
50523065;FS17;0;0;5.33;3;3;0
50523065;FS16;0;0;5.25;1;1;0
50523065;FS15;0;0;0;0;0;0
50523065;FS14;0;0;0;0;0;0
50523065;HS19;3.67;3;0;0;0;0
50523065;HS17;3.67;3;0;0;0;0
50997060;FS20;0;0;0;0;0;0
50782188;FS20;0;0;0;0;0;0
50782188;FS16;0;0;0;0;0;0
50840951;FS20;1.25;4;0;0;0;0
50840951;FS19;2.83;6;4.66;11;10;1
50840951;FS18;3.86;7;4.5;7;6;1
50840951;FS17;0;0;4.75;2;2;0
50840951;HS17;5.0;1;0;0;0;0
50873099;FS20;0;0;0;0;0;0
50873099;FS19;3.25;32;5.26;28;28;0
50873099;FS18;2.5;12;5.14;9;9;0
50873099;HS18;5.0;1;0;0;0;0
50873101;FS20;0;0;0;0;0;0
50873101;FS19;2.73;11;4.78;24;20;4
50873101;FS18;4.0;5;4.94;4;4;0
50873101;HS19;4.5;2;0;0;0;0
50873101;HS18;2.0;1;0;0;0;0
50945562;FS20;0;0;0;0;0;0
50945562;FS19;5.0;3;5.92;3;3;0
50937657;FS20;0;0;0;0;0;0
50937657;FS19;2.0;1;6;1;1;0
50945647;FS20;0;0;0;0;0;0
50945647;FS19;5.0;3;5.94;4;4;0
50675553;FS20;0;0;0;0;0;0
50675553;FS19;0;0;0;0;0;0
50675553;FS18;0;0;0;0;0;0
50675553;FS17;0;0;0;0;0;0
50675553;FS16;0;0;0;0;0;0
50675553;FS15;0;0;0;0;0;0
50675553;FS14;0;0;0;0;0;0
50314925;FS20;3.0;1;0;0;0;0
50314925;FS19;2.88;25;4.53;109;85;24
50314925;FS18;3.62;8;4.58;92;71;21
50314925;FS17;0;0;4.35;85;69;16
50314925;FS16;0;0;4.33;98;77;21
50314925;FS15;0;0;4.03;24;17;7
50314925;FS14;0;0;4.35;10;7;3
50314925;FS12;0;0;4.25;1;1;0
50314925;HS19;4.0;5;0;0;0;0
50314925;HS18;4.67;3;0;0;0;0
50314925;HS17;4.0;3;0;0;0;0
50873015;FS20;5.0;1;0;0;0;0
50873015;FS19;5.0;8;5.5;9;9;0
50873015;FS18;5.0;8;5.38;6;6;0
50888000;FS20;5.0;2;0;0;0;0
50888000;FS19;4.12;8;5.03;9;9;0
50888000;FS18;5.0;3;4.05;10;7;3
50888000;HS18;5.0;1;0;0;0;0
50675556;FS20;0;0;0;0;0;0
50675556;FS19;5.0;1;0;0;0;0
50675556;FS18;0;0;0;0;0;0
50675556;FS17;0;0;0;0;0;0
50675556;FS16;0;0;0;0;0;0
50675556;FS15;0;0;0;0;0;0
50675556;FS14;0;0;0;0;0;0
50820164;FS20;4.0;4;0;0;0;0
50820164;FS19;4.22;18;4.86;110;96;14
50820164;FS18;4.71;7;5.01;151;145;6
50820164;FS17;0;0;4.78;159;144;15
50820164;HS18;4.25;4;0;0;0;0
50820164;HS17;4.5;2;0;0;0;0
50820164;HS19;4.4;10;0;0;0;0
50354580;FS20;1.0;1;0;0;0;0
50354580;FS19;4.64;14;5.7;16;16;0
50354580;FS18;3.6;5;5.23;12;12;0
50354580;FS17;0;0;5.33;22;22;0
50354580;FS16;0;0;5.4;13;13;0
50354580;FS15;0;0;5.25;2;2;0
50354580;FS14;0;0;5;1;1;0
50354580;HS19;3.67;6;0;0;0;0
50354580;HS18;5.0;4;0;0;0;0
50354580;HS17;4.2;5;0;0;0;0
50923077;FS20;0;0;0;0;0;0
50923077;FS19;0;0;0;0;0;0
51000820;FS20;0;0;0;0;0;0
50821473;FS20;2.0;1;0;0;0;0
50821473;FS18;4.75;4;5;8;8;0
50821473;FS17;0;0;5.1;5;5;0
50821473;HS18;4.5;4;0;0;0;0
50821473;HS17;5.0;1;0;0;0;0
50821473;FS19;5.0;1;0;0;0;0
50431626;FS20;0;0;0;0;0;0
50431626;FS19;4.0;6;4.76;21;18;3
50431626;FS17;0;0;4.25;3;2;1
50431626;FS16;0;0;5.08;6;5;1
50431626;FS15;0;0;4;2;2;0
50431626;FS14;0;0;0;0;0;0
50431626;FS18;3.0;1;0;0;0;0
50431626;HS17;4.0;1;0;0;0;0
50314979;FS20;0;0;0;0;0;0
50314979;FS19;3.29;7;4.3;23;20;3
50314979;FS18;3.9;10;5.09;11;11;0
50314979;FS17;0;0;4.46;20;18;2
50314979;FS16;0;0;4.72;19;18;1
50314979;FS15;0;0;4.33;6;6;0
50314979;FS14;0;0;4.38;2;2;0
50314979;FS12;0;0;4.25;1;1;0
50314979;HS18;2.0;1;0;0;0;0
50314979;HS17;3.43;7;0;0;0;0
50314979;HS19;4.0;1;0;0;0;0
